what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331909714012
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331909750553
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331909754022
started,bundle,org.playframework.playclipse,0.7.0,"org.playframework.playclipse",1331909755586
opened,editor,org.playframework.playclipse,0.7.0,"RouteEditor",1331909755734
activated,editor,org.playframework.playclipse,0.7.0,"RouteEditor",1331909755794
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331909755823
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331909763102
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331909763788
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331909764668
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331909765453
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331909773653
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1331909777047
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1331909777615
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331909778995
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1331909789912
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1331909790391
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331909791233
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1331909798286
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331909799739
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331909888211
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331909894932
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331909927320
error,log,,,"Core exception while retrieving the content description",1331909927714
error,log,,,"Core exception while retrieving the content description",1331909927715
error,log,,,"Core exception while retrieving the content description",1331909927716
error,log,,,"Core exception while retrieving the content description",1331909927716
error,log,,,"Core exception while retrieving the content description",1331909927719
error,log,,,"Core exception while retrieving the content description",1331909927720
error,log,,,"Core exception while retrieving the content description",1331909927720
error,log,,,"Core exception while retrieving the content description",1331909927721
error,log,,,"Core exception while retrieving the content description",1331909927723
error,log,,,"Core exception while retrieving the content description",1331909927723
error,log,,,"Core exception while retrieving the content description",1331909927724
error,log,,,"Core exception while retrieving the content description",1331909927724
error,log,,,"Core exception while retrieving the content description",1331909927732
error,log,,,"Core exception while retrieving the content description",1331909927733
error,log,,,"Core exception while retrieving the content description",1331909927734
error,log,,,"Core exception while retrieving the content description",1331909927734
error,log,,,"Core exception while retrieving the content description",1331909927737
error,log,,,"Core exception while retrieving the content description",1331909927738
error,log,,,"Core exception while retrieving the content description",1331909927739
error,log,,,"Core exception while retrieving the content description",1331909927740
error,log,,,"Core exception while retrieving the content description",1331909927743
error,log,,,"Core exception while retrieving the content description",1331909927743
error,log,,,"Core exception while retrieving the content description",1331909927744
error,log,,,"Core exception while retrieving the content description",1331909927745
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1331909929355
activated,editor,org.playframework.playclipse,0.7.0,"RouteEditor",1331909932397
closed,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1331909932397
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1331909934710
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331909936282
error,log,,,"Core exception while retrieving the content description",1331909936819
error,log,,,"Core exception while retrieving the content description",1331909936821
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1331909936965
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1331909936965
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331909936991
error,log,,,"Core exception while retrieving the content description",1331909937353
error,log,,,"Core exception while retrieving the content description",1331909937354
error,log,,,"Core exception while retrieving the content description",1331909937357
error,log,,,"Core exception while retrieving the content description",1331909937358
error,log,,,"Core exception while retrieving the content description",1331909937359
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1331909937815
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1331909937862
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1331909945433
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1331909946578
error,log,,,"Core exception while retrieving the content description",1331909947165
error,log,,,"Core exception while retrieving the content description",1331909947168
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331909947386
error,log,,,"Core exception while retrieving the content description",1331909947729
error,log,,,"Core exception while retrieving the content description",1331909947730
error,log,,,"Core exception while retrieving the content description",1331909947732
error,log,,,"Core exception while retrieving the content description",1331909947733
error,log,,,"Core exception while retrieving the content description",1331909947734
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331909948250
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331909958233
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331909960350
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331909961849
activated,editor,org.playframework.playclipse,0.7.0,"RouteEditor",1331909967314
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1331909971412
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331909971689
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1331909971841
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331909984820
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331910037197
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331910043340
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331910137109
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331910154236
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331910158135
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331910159085
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331910202734
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331910220133
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331910279581
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331910288049
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331910296595
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331910297315
error,log,,,"Core exception while retrieving the content description",1331910298877
error,log,,,"Core exception while retrieving the content description",1331910298879
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331910299172
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1331910299842
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1331910299842
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1331910299842
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1331910299843
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1331910299843
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1331910299844
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1331910299844
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1331910299844
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1331910299844
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1331910299844
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1331910299844
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1331910299845
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1331910299845
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1331910299845
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1331910299846
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1331910299847
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1331910299851
stopped,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.0.v20100602,"org.eclipse.jst.jsf.facelet.ui",1331910299852
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.ui,1.1.200.v201004290730,"org.eclipse.jst.j2ee.ejb.annotations.ui",1331910299852
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.600.v201008171516,"org.eclipse.jst.ws.axis.creation.ui",1331910299852
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1331910299852
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1331910299852
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1331910299852
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1331910299852
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1331910299853
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.0.v201003311345,"org.eclipse.jst.ws.cxf.creation.ui",1331910299853
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1331910299853
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.510.v201011041151,"org.eclipse.jst.ws.creation.ui",1331910299854
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.302.v201101191731,"org.eclipse.jst.ws.consumption.ui",1331910299854
stopped,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice.ui",1331910299854
stopped,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1331910299855
stopped,bundle,org.eclipse.jst.ejb.ui,1.1.502.v201101121843,"org.eclipse.jst.ejb.ui",1331910299855
stopped,bundle,org.eclipse.jst.servlet.ui,1.1.404.v201101270100,"org.eclipse.jst.servlet.ui",1331910299855
stopped,bundle,org.eclipse.jst.jee.ui,1.0.304.v201101272100,"org.eclipse.jst.jee.ui",1331910299856
stopped,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.403.v201012020600,"org.eclipse.jst.j2ee.navigator.ui",1331910299856
stopped,bundle,org.eclipse.jst.j2ee.jca.ui,1.1.400.v201004150700,"org.eclipse.jst.j2ee.jca.ui",1331910299856
stopped,bundle,org.eclipse.wtp.epp.package.jee.intro,1.3.0.v201006142040,"org.eclipse.wtp.epp.package.jee.intro",1331910299856
stopped,bundle,org.dyno.visual.swing.borders,0.9.12.I20090506-2220,"org.dyno.visual.swing.borders",1331910299857
stopped,bundle,org.dyno.visual.swing.grouplayouts,0.9.12.I20090506-2220,"org.dyno.visual.swing.grouplayouts",1331910299857
stopped,bundle,org.dyno.visual.swing.layouts,0.9.12.I20090527-2200,"org.dyno.visual.swing.layouts",1331910299857
stopped,bundle,org.dyno.visual.swing.parser,0.9.12.I20090522-2330,"org.dyno.visual.swing.parser",1331910299857
stopped,bundle,org.dyno.visual.swing.types,0.9.12.I20090527-2200,"org.dyno.visual.swing.types",1331910299857
