what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.emf.mapping.ecore2xml.ui,2.5.0.v20100521-1847,"org.eclipse.emf.mapping.ecore2xml.ui",1331910299858
stopped,bundle,org.eclipse.emf.exporter,2.6.0.v20100521-1846,"org.eclipse.emf.exporter",1331910299858
stopped,bundle,org.eclipse.emf.importer.ecore,2.6.0.v20100521-1846,"org.eclipse.emf.importer.ecore",1331910299858
stopped,bundle,org.eclipse.emf.importer.java,2.6.0.v20100521-1846,"org.eclipse.emf.importer.java",1331910299858
stopped,bundle,org.eclipse.emf.importer.rose,2.6.0.v20100521-1846,"org.eclipse.emf.importer.rose",1331910299859
stopped,bundle,org.eclipse.emf.importer,2.6.0.v20100521-1846,"org.eclipse.emf.importer",1331910299859
stopped,bundle,org.eclipse.emf.converter,2.5.0.v20100914-1218,"org.eclipse.emf.converter",1331910299859
stopped,bundle,org.eclipse.emf.codegen.ecore.ui,2.6.0.v20100914-1218,"org.eclipse.emf.codegen.ecore.ui",1331910299859
stopped,bundle,org.eclipse.emf.mapping.ecore2ecore.editor,2.4.0.v20100521-1847,"org.eclipse.emf.mapping.ecore2ecore.editor",1331910299859
stopped,bundle,org.eclipse.emf.ecore.editor,2.6.0.v20100914-1218,"org.eclipse.emf.ecore.editor",1331910299860
stopped,bundle,org.eclipse.emf.mapping.ui,2.6.0.v20100914-1218,"org.eclipse.emf.mapping.ui",1331910299861
stopped,bundle,org.eclipse.datatools.enablement.hsqldb.ui,1.0.0.v200906020900,"org.eclipse.datatools.enablement.hsqldb.ui",1331910299861
stopped,bundle,org.eclipse.datatools.enablement.sqlite.ui,1.0.0.v200906020900,"org.eclipse.datatools.enablement.sqlite.ui",1331910299861
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples,2.5.0.200810071,"org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples",1331910299861
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.ui,1.0.1.v200906111150,"org.eclipse.datatools.enablement.sybase.asa.ui",1331910299862
stopped,bundle,org.eclipse.datatools.enablement.sybase.ase.ui,1.0.1.v200906020900,"org.eclipse.datatools.enablement.sybase.ase.ui",1331910299862
stopped,bundle,org.eclipse.datatools.enablement.sybase.ui,1.0.0.v200906090458,"org.eclipse.datatools.enablement.sybase.ui",1331910299862
stopped,bundle,org.eclipse.datatools.sqltools.data.ui,1.2.0.v201005250945,"org.eclipse.datatools.sqltools.data.ui",1331910299862
stopped,bundle,org.eclipse.datatools.connectivity.apache.derby.ui,1.0.3.v201007080903,"org.eclipse.datatools.connectivity.apache.derby.ui",1331910299862
stopped,bundle,org.eclipse.datatools.enablement.ingres.ui,1.0.0.v201006242214,"org.eclipse.datatools.enablement.ingres.ui",1331910299863
stopped,bundle,org.eclipse.datatools.connectivity.sqm.server.ui,1.1.100.v201009280455,"org.eclipse.datatools.connectivity.sqm.server.ui",1331910299863
stopped,bundle,org.eclipse.datatools.sqltools.sqlbuilder,1.0.3.v201009131745,"org.eclipse.datatools.sqltools.sqlbuilder",1331910299863
stopped,bundle,org.eclipse.jpt.eclipselink.ui,1.3.0.v201004280001,"org.eclipse.jpt.eclipselink.ui",1331910299863
stopped,bundle,org.eclipse.jpt.jaxb.ui,1.0.1.v201006300000,"org.eclipse.jpt.jaxb.ui",1331910299864
stopped,bundle,org.eclipse.jpt.ui,2.3.2.v201008252310,"org.eclipse.jpt.ui",1331910299864
stopped,bundle,org.eclipse.jst.j2ee.ui,1.1.404.v201101122300,"org.eclipse.jst.j2ee.ui",1331910299864
stopped,bundle,org.eclipse.jst.pagedesigner.jsf.ui,1.2.0.v20100414,"org.eclipse.jst.pagedesigner.jsf.ui",1331910299864
stopped,bundle,org.eclipse.jst.jsf.apache.trinidad.tagsupport,1.1.101.v20100906,"org.eclipse.jst.jsf.apache.trinidad.tagsupport",1331910299864
stopped,bundle,org.eclipse.jst.jsf.facesconfig.ui,1.2.1.v201101112207,"org.eclipse.jst.jsf.facesconfig.ui",1331910299865
stopped,bundle,org.eclipse.jst.jsf.ui,1.3.1.v20100906,"org.eclipse.jst.jsf.ui",1331910299865
stopped,bundle,org.eclipse.jst.pagedesigner,1.3.2.v201101211220,"org.eclipse.jst.pagedesigner",1331910299865
stopped,bundle,org.eclipse.jst.jsf.common.ui,1.2.0.v20100329,"org.eclipse.jst.jsf.common.ui",1331910299865
stopped,bundle,org.eclipse.jst.pagedesigner.jsp.core,1.2.0.v20100308,"org.eclipse.jst.pagedesigner.jsp.core",1331910299866
stopped,bundle,org.eclipse.jst.jsf.facelet.core,1.0.2.v201101042130,"org.eclipse.jst.jsf.facelet.core",1331910299866
stopped,bundle,org.eclipse.jst.jsf.core,1.3.3.v201102021253,"org.eclipse.jst.jsf.core",1331910299866
stopped,bundle,org.eclipse.jst.jsf.standard.tagsupport,1.2.2.v20101027,"org.eclipse.jst.jsf.standard.tagsupport",1331910299867
stopped,bundle,org.eclipse.jst.jsf.common,1.2.2.v201101211220,"org.eclipse.jst.jsf.common",1331910299868
stopped,bundle,org.eclipse.jst.jsf.facesconfig,1.2.1.v20100906,"org.eclipse.jst.jsf.facesconfig",1331910299868
stopped,bundle,org.eclipse.wst.wsdl.ui,1.2.306.v201106290347,"org.eclipse.wst.wsdl.ui",1331910299868
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.305.v201104132127,"org.eclipse.wst.xsd.ui",1331910299868
stopped,bundle,org.eclipse.emf.edit.ui,2.6.0.v20100914-1218,"org.eclipse.emf.edit.ui",1331910299869
stopped,bundle,org.eclipse.wst.common.snippets,1.2.2.v201101130441,"org.eclipse.wst.common.snippets",1331910299869
stopped,bundle,org.eclipse.gef,3.6.2.v20110110-2020,"org.eclipse.gef",1331910299869
stopped,bundle,org.eclipse.datatools.enablement.postgresql.ui,1.0.0.v200906020900,"org.eclipse.datatools.enablement.postgresql.ui",1331910299869
stopped,bundle,org.eclipse.datatools.connectivity.db.generic.ui,1.0.1.v201004070709,"org.eclipse.datatools.connectivity.db.generic.ui",1331910299869
stopped,bundle,org.eclipse.datatools.sqltools.ddlgen.ui,1.0.1.v201002270530,"org.eclipse.datatools.sqltools.ddlgen.ui",1331910299870
stopped,bundle,org.eclipse.datatools.sqltools.db.derby.ui,1.0.0.v200906020900,"org.eclipse.datatools.sqltools.db.derby.ui",1331910299870
stopped,bundle,org.eclipse.datatools.sqltools.db.generic.ui,1.0.0.v200906020900,"org.eclipse.datatools.sqltools.db.generic.ui",1331910299870
stopped,bundle,org.eclipse.datatools.sqltools.debugger.core.ui,1.0.0.v201003161000,"org.eclipse.datatools.sqltools.debugger.core.ui",1331910299870
stopped,bundle,org.eclipse.datatools.sqltools.routineeditor.ui,1.0.1.v201004060545,"org.eclipse.datatools.sqltools.routineeditor.ui",1331910299870
stopped,bundle,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook",1331910299871
stopped,bundle,org.eclipse.datatools.sqltools.debugger.core,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.debugger.core",1331910299871
stopped,bundle,org.eclipse.datatools.sqltools.schemaobjecteditor.ui.pages,1.1.0.200810071,"org.eclipse.datatools.sqltools.schemaobjecteditor.ui.pages",1331910299871
stopped,bundle,org.eclipse.datatools.sqltools.schemaobjecteditor.ui,1.1.1.200810071,"org.eclipse.datatools.sqltools.schemaobjecteditor.ui",1331910299871
stopped,bundle,org.eclipse.datatools.sqltools.sqleditor,1.0.2.v201009230800,"org.eclipse.datatools.sqltools.sqleditor",1331910299871
stopped,bundle,org.eclipse.datatools.sqltools.editor.core.ui,1.0.0.v201001150815,"org.eclipse.datatools.sqltools.editor.core.ui",1331910299872
stopped,bundle,org.eclipse.datatools.sqltools.tabledataeditor,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.tabledataeditor",1331910299872
stopped,bundle,org.eclipse.datatools.connectivity.sqm.core.ui,1.2.0.v201002281800,"org.eclipse.datatools.connectivity.sqm.core.ui",1331910299872
stopped,bundle,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201004270430,"org.eclipse.datatools.connectivity.ui.dse",1331910299872
stopped,bundle,org.eclipse.datatools.enablement.ibm.db2.iseries.ui,1.0.1.v201005211230,"org.eclipse.datatools.enablement.ibm.db2.iseries.ui",1331910299873
stopped,bundle,org.eclipse.datatools.enablement.ibm.db2.luw.ui,1.0.2.v201005211230,"org.eclipse.datatools.enablement.ibm.db2.luw.ui",1331910299874
stopped,bundle,org.eclipse.datatools.enablement.ibm.db2.zseries.ui,1.0.1.v201005211230,"org.eclipse.datatools.enablement.ibm.db2.zseries.ui",1331910299874
stopped,bundle,org.eclipse.datatools.enablement.ibm.informix.ui,1.0.2.v201005211230,"org.eclipse.datatools.enablement.ibm.informix.ui",1331910299874
stopped,bundle,org.eclipse.datatools.enablement.ibm.ui,1.0.0.v200906020900,"org.eclipse.datatools.enablement.ibm.ui",1331910299874
stopped,bundle,org.eclipse.jpt.eclipselink.core,1.3.2.v201102072310,"org.eclipse.jpt.eclipselink.core",1331910299874
stopped,bundle,org.eclipse.jpt.core,2.3.3.v201102172310,"org.eclipse.jpt.core",1331910299874
stopped,bundle,org.eclipse.jpt.db,1.2.202.v201010192330,"org.eclipse.jpt.db",1331910299874
stopped,bundle,org.eclipse.datatools.enablement.jdt.classpath,1.0.1.v201004070709,"org.eclipse.datatools.enablement.jdt.classpath",1331910299874
stopped,bundle,org.eclipse.datatools.enablement.msft.sqlserver.ui,1.0.1.v200908130512,"org.eclipse.datatools.enablement.msft.sqlserver.ui",1331910299875
stopped,bundle,org.eclipse.datatools.enablement.mysql.ui,1.0.0.v200906020900,"org.eclipse.datatools.enablement.mysql.ui",1331910299875
stopped,bundle,org.eclipse.datatools.enablement.oracle.ui,1.0.2.v201005051303,"org.eclipse.datatools.enablement.oracle.ui",1331910299875
stopped,bundle,org.eclipse.datatools.enablement.sap.maxdb.ui,1.0.0.v200906020900,"org.eclipse.datatools.enablement.sap.maxdb.ui",1331910299875
stopped,bundle,org.eclipse.datatools.sqltools.plan,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.plan",1331910299875
stopped,bundle,org.eclipse.datatools.sqltools.result.ui,1.1.1.v201101140400,"org.eclipse.datatools.sqltools.result.ui",1331910299875
stopped,bundle,org.eclipse.datatools.sqltools.common.ui,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.common.ui",1331910299875
stopped,bundle,org.eclipse.datatools.connectivity.oda.flatfile.ui,3.1.1.v201101261130,"org.eclipse.datatools.connectivity.oda.flatfile.ui",1331910299875
stopped,bundle,org.eclipse.datatools.enablement.oda.ws.ui,1.2.2.v201012301630,"org.eclipse.datatools.enablement.oda.ws.ui",1331910299875
stopped,bundle,org.eclipse.datatools.enablement.oda.xml.ui,1.2.1.v201012161115,"org.eclipse.datatools.enablement.oda.xml.ui",1331910299875
stopped,bundle,org.eclipse.datatools.connectivity.oda.design.ui,3.2.4.v201012150951,"org.eclipse.datatools.connectivity.oda.design.ui",1331910299876
stopped,bundle,org.eclipse.datatools.connectivity.ui,1.2.1.v201010211415,"org.eclipse.datatools.connectivity.ui",1331910299876
stopped,bundle,org.eclipse.datatools.sqltools.sql.ui,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.sql.ui",1331910299876
stopped,bundle,org.eclipse.rse.subsystems.processes.dstore,2.1.100.v200905272300,"org.eclipse.rse.subsystems.processes.dstore",1331910299876
stopped,bundle,org.eclipse.rse.subsystems.files.dstore,2.1.102.R32x_v201102011435,"org.eclipse.rse.subsystems.files.dstore",1331910299876
stopped,bundle,org.eclipse.rse.subsystems.shells.dstore,2.1.201.v201008191400,"org.eclipse.rse.subsystems.shells.dstore",1331910299876
stopped,bundle,org.eclipse.rse.connectorservice.dstore,3.1.100.v201005281600,"org.eclipse.rse.connectorservice.dstore",1331910299876
stopped,bundle,org.eclipse.rse.dstore.security,3.0.200.v201003010830,"org.eclipse.rse.dstore.security",1331910299878
stopped,bundle,org.eclipse.rse.services.dstore,3.1.102.R32x_v201102011435,"org.eclipse.rse.services.dstore",1331910299878
stopped,bundle,org.eclipse.dstore.core,3.2.2.R32x_v201102121806,"org.eclipse.dstore.core",1331910299878
stopped,bundle,org.eclipse.dstore.extra,2.1.101.v200907301400,"org.eclipse.dstore.extra",1331910299878
stopped,bundle,org.eclipse.epp.mpc.ui,1.0.1.v20100826-2143,"org.eclipse.epp.mpc.ui",1331910299878
stopped,bundle,com.google.appengine.eclipse.sdkbundle,1.5.5.r36v201110112027,"com.google.appengine.eclipse.sdkbundle",1331910299878
stopped,bundle,com.google.gdt.eclipse.appengine.rpc,2.4.2.relr36v201110112027,"com.google.gdt.eclipse.appengine.rpc",1331910299879
stopped,bundle,com.google.gdt.eclipse.gph.e36,2.4.2.relr36v201110112027,"com.google.gdt.eclipse.gph.e36",1331910299879
stopped,bundle,com.google.gdt.eclipse.gph.hge,2.4.2.relr36v201110112027,"com.google.gdt.eclipse.gph.hge",1331910299879
stopped,bundle,com.google.gdt.eclipse.gph.subclipse,2.4.2.relr36v201110112027,"com.google.gdt.eclipse.gph.subclipse",1331910299879
stopped,bundle,com.google.gdt.eclipse.gph.subversive,2.4.2.relr36v201110112027,"com.google.gdt.eclipse.gph.subversive",1331910299879
stopped,bundle,com.google.gdt.eclipse.gph,2.4.2.relr36v201110112027,"com.google.gdt.eclipse.gph",1331910299880
stopped,bundle,com.google.gdt.eclipse.maven.e35,2.4.2.relr36v201110112027,"com.google.gdt.eclipse.maven.e35",1331910299880
stopped,bundle,com.google.gdt.eclipse.maven,2.4.2.relr36v201110112027,"com.google.gdt.eclipse.maven",1331910299880
stopped,bundle,com.google.gdt.eclipse.suite,2.4.2.relr36v201110112027,"com.google.gdt.eclipse.suite",1331910299880
stopped,bundle,com.google.gdt.eclipse.appsmarketplace,2.4.2.relr36v201110112027,"com.google.gdt.eclipse.appsmarketplace",1331910299880
stopped,bundle,com.google.appengine.eclipse.core,2.4.2.relr36v201110112027,"com.google.appengine.eclipse.core",1331910299881
stopped,bundle,com.google.gdt.eclipse.login,2.4.2.relr36v201110112027,"com.google.gdt.eclipse.login",1331910299881
stopped,bundle,com.google.gdt.eclipse.managedapis,2.4.2.relr36v201110112027,"com.google.gdt.eclipse.managedapis",1331910299882
stopped,bundle,com.google.gwt.eclipse.oophm,2.4.2.relr36v201110112027,"com.google.gwt.eclipse.oophm",1331910299882
stopped,bundle,com.google.gwt.eclipse.sdkbundle,2.4.0.relr36v201110112027,"com.google.gwt.eclipse.sdkbundle",1331910299882
stopped,bundle,com.google.gwt.eclipse.core,2.4.2.relr36v201110112027,"com.google.gwt.eclipse.core",1331910299891
stopped,bundle,com.google.gdt.eclipse.core,2.4.2.relr36v201110112027,"com.google.gdt.eclipse.core",1331910299891
stopped,bundle,com.google.gdt.eclipse.platform,2.4.2.relr36v201110112027,"com.google.gdt.eclipse.platform",1331910299892
stopped,bundle,com.google.gdt.eclipse.platform.e36,2.4.2.relr36v201110112027,"com.google.gdt.eclipse.platform.e36",1331910299892
